Date,Utilization of Refinery in %,Production,Demand,Contract 1 FP,Global Sale (in millions),Last Day's Price,Price
2016-12-27,92.0,4516.18,4334.96,53.9,0.904920529,,
2016-12-28,92.0,4513.54,4353.3275,54.06,1.0243168335,,
2016-12-29,92.0,4510.9,4371.695,53.77,1.1437131379999999,,
2016-12-30,92.0,4508.26,4390.0625,53.72,1.2631094425,53.9,
2017-01-01,92.32,4505.62,4408.43,53.025,1.382505747,53.37666727701823,
2017-01-03,92.64,4506.0694071146245,4408.508379446641,52.33,1.386091597944664,52.85333455403646,52.33000183105469
2017-01-04,92.96,4506.518814229249,4408.586758893281,53.26,1.389677448889328,52.33000183105469,53.2599983215332
2017-01-05,93.28,4506.968221343874,4408.665138339921,53.76,1.393263299833992,53.2599983215332,53.7599983215332
2017-01-06,93.6,4507.417628458498,4408.743517786562,53.99,1.396849150778656,53.7599983215332,53.9900016784668
2017-01-09,93.02,4507.867035573123,4408.8218972332015,51.96,1.40043500172332,53.9900016784668,51.959999084472656
2017-01-10,92.44,4508.3164426877465,4408.900276679842,50.82,1.404020852667984,51.959999084472656,50.81999969482422
2017-01-11,91.86,4508.765849802371,4408.978656126483,52.25,1.407606703612648,50.81999969482422,52.25
2017-01-12,91.28,4509.215256916996,4409.057035573122,53.01,1.4111925545573123,52.25,53.0099983215332
2017-01-13,90.7,4509.66466403162,4409.135415019763,52.37,1.4147784055019763,53.0099983215332,52.369998931884766
2017-01-17,90.1,4510.114071146245,4409.213794466404,52.48,1.4183642564466403,52.369998931884766,52.47999954223633
2017-01-18,89.5,4510.5634782608695,4409.292173913043,51.08,1.4219501073913043,52.47999954223633,51.08000183105469
2017-01-19,88.9,4511.012885375494,4409.370553359684,51.37,1.4255359583359684,51.08000183105469,51.369998931884766
2017-01-20,88.3,4511.462292490119,4409.448932806325,52.42,1.4291218092806324,51.369998931884766,52.41999816894531
2017-01-23,88.28,4511.911699604743,4409.527312252964,52.75,1.4327076602252964,52.41999816894531,52.75
2017-01-24,88.26,4512.361106719368,4409.605691699605,53.18,1.4362935111699604,52.75,53.18000030517578
2017-01-25,88.24,4512.8105138339915,4409.6840711462455,52.75,1.4398793621146244,53.18000030517578,52.75
2017-01-26,88.22,4513.259920948616,4409.762450592885,53.78,1.4434652130592884,52.75,53.779998779296875
2017-01-27,88.2,4513.709328063241,4409.840830039526,53.17,1.4470510640039524,53.779998779296875,53.16999816894531
